"","datafilePath","md5sum","fileSize","biologicalCategory","organisation","patientId","projectName","protocol","technicalPlatform"
"49","/odin/kdi/dataset/2217402/archive/M2_C4_n4_S37_I1_001.fastq.gz","f5be39f3ad864a428f49b3196d5c8417",662328162,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"50","/odin/kdi/dataset/2217402/archive/M2_C4_n4_S37_I2_001.fastq.gz","33e73a1077b15a1ee7e405ec4187cd91",667551383,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"51","/odin/kdi/dataset/2217402/archive/M2_C4_n4_S37_R1_001.fastq.gz","795adcec1f6d74049adc142cca29e68a",5275936768,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"52","/odin/kdi/dataset/2217402/archive/M2_C4_n4_S37_R2_001.fastq.gz","b0313efce9db91cb95dfd3b7194daa29",5382476754,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"53","/odin/kdi/dataset/2217403/archive/M2_Creno_n1_S4_I1_001.fastq.gz","a98193aca5284723a9104097d1e43246",31199039,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"54","/odin/kdi/dataset/2217403/archive/M2_Creno_n1_S4_I2_001.fastq.gz","82c7a88205e9b5a59ed242d1bcc6d06d",29706815,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"55","/odin/kdi/dataset/2217403/archive/M2_Creno_n1_S4_R1_001.fastq.gz","6fda3ef048d1fa23f70819cb99279bcb",172202839,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"56","/odin/kdi/dataset/2217403/archive/M2_Creno_n1_S4_R2_001.fastq.gz","391c913c8a3b43d6a652ec6fd2764be0",173023638,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"57","/odin/kdi/dataset/2217404/archive/M2_C2_n3_S23_I1_001.fastq.gz","08e1dddab54e98d611285681964c1b6a",266051940,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"58","/odin/kdi/dataset/2217404/archive/M2_C2_n3_S23_I2_001.fastq.gz","06093f59f7b2599776bc65a9caafa811",281744089,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"59","/odin/kdi/dataset/2217404/archive/M2_C2_n3_S23_R1_001.fastq.gz","fb3d1f9ad8749407412dec07cbf25ee7",2095692228,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"60","/odin/kdi/dataset/2217404/archive/M2_C2_n3_S23_R2_001.fastq.gz","fc8f83a4a40130987ce8d64eafca6e9e",2156462716,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"61","/odin/kdi/dataset/2217405/archive/M2_C3_n1_S5_I1_001.fastq.gz","dcce0b34706f3d683ef52814c797948d",533764894,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"62","/odin/kdi/dataset/2217405/archive/M2_C3_n1_S5_I2_001.fastq.gz","024edfe325730ea8ce3d1147d87ec30b",582898604,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"63","/odin/kdi/dataset/2217405/archive/M2_C3_n1_S5_R1_001.fastq.gz","c9d8aa5565d1111813203fc043319754",4275504515,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"64","/odin/kdi/dataset/2217405/archive/M2_C3_n1_S5_R2_001.fastq.gz","5933f4005bc55804f7230d668ae8f27e",4384499379,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
